Timestamp,Open,High,Low,Close,Volume,HL,Pressure,PV,PPrice1,PColor1,PPrice2,PColor2,Direction,Diff
2000-01-01,1.6146,1.6581,1.6127,1.6156,128205.0,3600.0000000000027,18.766776315789485,-9.631944366513324,1.6146,3.0,1.6146,2.0,2.0,1.6146
2000-02-01,1.6155,1.6196,1.5775,1.58,151494.0,4539.999999999988,35.612499999999976,16.84572368421049,1.6155,3.0,1.6155,3.0,3.0,1.6155
2000-03-01,1.5791,1.6008,1.5614,1.5911,168191.0,4210.000000000003,33.36872246696044,-2.243777533039534,1.5791,3.0,1.5791,4.0,4.0,1.5791
2000-04-01,1.5912,1.6082,1.5505,1.5521,130503.0,3940.00000000001,39.95035629453679,6.581633827576347,1.5912,3.0,1.5912,2.0,2.0,1.5912
2000-05-01,1.5535,1.5673,1.4664,1.5004,169013.0,5770.000000000008,33.122588832487224,-6.8277674620495645,1.5535,0.0,1.5535,2.0,2.0,1.5535
2000-06-01,1.5006,1.5314,1.4897,1.5173,164861.0,10089.999999999998,29.2916811091854,-3.8309077233018236,1.5006,3.0,1.5006,4.0,4.0,1.5006
2000-07-01,1.5168,1.5223,1.4904,1.5,151725.0,4170.000000000006,16.339048562933602,-12.952632546251799,1.5168,3.0,1.5168,2.0,2.0,1.5168
2000-08-01,1.4997,1.5143,1.4419,1.4475,154167.0,3190.0000000000036,36.38489208633088,20.045843523397277,1.4997,0.0,1.4997,2.0,2.0,1.4997
2000-09-01,1.4469,1.4802,1.395,1.4761,157596.0,7240.000000000002,48.328213166144145,11.943321079813266,1.4469,3.0,1.4469,4.0,4.0,1.4469
2000-10-01,1.4764,1.4804,1.4191,1.448,170567.0,8519.999999999993,21.76740331491712,-26.560809851227024,1.4764,3.0,1.4764,2.0,2.0,1.4764
2000-11-01,1.4485,1.4573,1.3957,1.4253,187490.0,6129.999999999991,20.01960093896715,-1.74780237594997,1.4485,3.0,1.4485,1.0,1.0,1.4485
2000-12-01,1.4252,1.4983,1.4232,1.4929,189053.0,6160.000000000009,30.585644371941317,10.566043432974165,1.4252,3.0,1.4252,4.0,4.0,1.4252
2001-01-01,1.4931,1.5106,1.4463,1.4643,208046.0,7509.999999999994,30.690422077922033,0.10477770598071601,1.4931,3.0,1.4931,1.0,1.0,1.4931
2001-02-01,1.4645,1.4838,1.431,1.4455,182150.0,6430.000000000002,27.702529960053287,-2.9878921178687463,1.4645,0.0,1.4645,1.0,1.0,1.4645
2001-03-01,1.4455,1.4763,1.4151,1.4163,211670.0,5279.999999999995,28.328149300155513,0.6256193401022259,1.4455,3.0,1.4455,4.0,4.0,1.4455
2001-04-01,1.4144,1.4502,1.4138,1.4333,175511.0,6119.999999999992,40.089015151515184,11.760865851359672,1.4144,0.0,1.4144,4.0,4.0,1.4144
2001-05-01,1.4334,1.4453,1.407,1.4184,191335.0,3639.9999999999986,28.678267973856247,-11.410747177658937,1.4334,3.0,1.4334,2.0,2.0,1.4334
2001-06-01,1.4184,1.4231,1.3682,1.4163,184982.0,3829.9999999999995,52.56456043956046,23.886292465704212,1.4184,3.0,1.4184,1.0,1.0,1.4184
2001-07-01,1.4161,1.4357,1.3927,1.4252,190447.0,5489.9999999999945,48.2981723237598,-4.266388115800659,1.4161,3.0,1.4161,4.0,4.0,1.4161
2001-08-01,1.4251,1.4627,1.4121,1.4542,210452.0,4299.999999999993,34.68979963570131,-13.608372688058488,1.4251,3.0,1.4251,1.0,1.0,1.4251
2001-09-01,1.4528,1.4792,1.4404,1.4744,190904.0,5059.999999999997,48.94232558139543,14.252525945694117,1.4528,3.0,1.4528,3.0,3.0,1.4528
2001-10-01,1.4724,1.4845,1.4196,1.4545,209078.0,3880.0000000000164,37.72806324110674,-11.214262340288691,1.4724,0.0,1.4724,3.0,3.0,1.4724
2001-11-01,1.4545,1.4684,1.404,1.4242,196297.0,6489.999999999995,53.886082474226576,16.158019233119838,1.4545,3.0,1.4545,1.0,1.0,1.4545
2001-12-01,1.4233,1.4611,1.4139,1.4546,183956.0,6440.000000000001,30.24607087827429,-23.640011595952288,1.4233,3.0,1.4233,4.0,4.0,1.4233
2002-01-01,1.4545,1.4559,1.4041,1.4106,210366.0,4720.000000000013,28.564596273291922,-1.6814746049823661,1.4545,3.0,1.4545,2.0,2.0,1.4545
2002-02-01,1.4105,1.4363,1.4058,1.4168,172476.0,5180.000000000006,44.56906779661005,16.004471523318127,1.4105,0.0,1.4105,2.0,2.0,1.4105
2002-03-01,1.417,1.4327,1.4088,1.4259,183725.0,3049.999999999997,33.29652509652506,-11.27254270008499,1.417,0.0,1.417,2.0,2.0,1.417
2002-04-01,1.4257,1.4636,1.4248,1.4579,184505.0,2390.000000000003,60.23770491803285,26.941179821507788,1.4257,3.0,1.4257,3.0,3.0,1.4257
2002-05-01,1.4578,1.4708,1.446,1.4543,196659.0,3879.999999999994,77.19874476987438,16.961039851841534,1.4578,0.0,1.4578,3.0,3.0,1.4578
2002-06-01,1.4571,1.5381,1.4532,1.5331,174902.0,2480.0000000000155,50.685309278350594,-26.513435491523786,1.4571,0.0,1.4571,3.0,3.0,1.4571
2002-07-01,1.5323,1.5867,1.515,1.5631,219113.0,8489.999999999996,70.52499999999957,19.83969072164897,1.5323,0.0,1.5323,3.0,3.0,1.5323
2002-08-01,1.5633,1.5729,1.5162,1.5498,199485.0,7170.000000000009,25.808362779740882,-44.71663722025868,1.5633,0.0,1.5633,3.0,3.0,1.5633
